




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
body fluid secretion (GO:0007589)	72	5	1.09	+	4.58	5.92E-03	3.36E-01
alditol metabolic process (GO:0019400)	22	3	.33	+	8.99	5.95E-03	3.36E-01
leucine catabolic process (GO:0006552)	6	2	.09	+	21.99	5.87E-03	3.36E-01
action potential (GO:0001508)	104	6	1.58	+	3.81	6.19E-03	3.37E-01
stem cell development (GO:0048864)	73	5	1.11	+	4.52	6.25E-03	3.37E-01
alditol biosynthetic process (GO:0019401)	6	2	.09	+	21.99	5.87E-03	3.38E-01
mesenchymal cell development (GO:0014031)	73	5	1.11	+	4.52	6.25E-03	3.38E-01
regulation of organ morphogenesis (GO:2000027)	253	10	3.84	+	2.61	6.41E-03	3.45E-01
proton transmembrane transport (GO:1902600)	139	7	2.11	+	3.32	6.44E-03	3.45E-01
response to peptide (GO:1901652)	463	15	7.02	+	2.14	6.47E-03	3.45E-01
response to steroid hormone (GO:0048545)	337	12	5.11	+	2.35	6.52E-03	3.47E-01
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	23	3	.35	+	8.60	6.65E-03	3.47E-01
ADP metabolic process (GO:0046031)	46	4	.70	+	5.74	6.55E-03	3.48E-01
regulation of branching involved in ureteric bud morphogenesis (GO:0090189)	23	3	.35	+	8.60	6.65E-03	3.48E-01
epithelium development (GO:0060429)	1068	28	16.19	+	1.73	6.59E-03	3.48E-01
cellular response to prostaglandin stimulus (GO:0071379)	23	3	.35	+	8.60	6.65E-03	3.49E-01
regulation of activin receptor signaling pathway (GO:0032925)	23	3	.35	+	8.60	6.65E-03	3.50E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	106	6	1.61	+	3.73	6.75E-03	3.51E-01
protein complex oligomerization (GO:0051259)	467	15	7.08	+	2.12	6.87E-03	3.56E-01
cellular response to starvation (GO:0009267)	141	7	2.14	+	3.27	6.92E-03	3.58E-01
response to organic substance (GO:0010033)	2915	62	44.19	+	1.40	6.96E-03	3.58E-01
biological adhesion (GO:0022610)	891	24	13.51	+	1.78	7.47E-03	3.71E-01
positive regulation of gonadotropin secretion (GO:0032278)	7	2	.11	+	18.85	7.47E-03	3.72E-01
protein sulfation (GO:0006477)	7	2	.11	+	18.85	7.47E-03	3.73E-01
amino-acid betaine biosynthetic process (GO:0006578)	7	2	.11	+	18.85	7.47E-03	3.75E-01
positive regulation of megakaryocyte differentiation (GO:0045654)	7	2	.11	+	18.85	7.47E-03	3.76E-01
atrioventricular valve development (GO:0003171)	24	3	.36	+	8.25	7.40E-03	3.76E-01
digestion (GO:0007586)	108	6	1.64	+	3.66	7.34E-03	3.77E-01
bud elongation involved in lung branching (GO:0060449)	7	2	.11	+	18.85	7.47E-03	3.77E-01
reactive oxygen species biosynthetic process (GO:1903409)	24	3	.36	+	8.25	7.40E-03	3.77E-01
response to starvation (GO:0042594)	180	8	2.73	+	2.93	7.46E-03	3.78E-01
aspartate family amino acid biosynthetic process (GO:0009067)	24	3	.36	+	8.25	7.40E-03	3.78E-01
phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200)	109	6	1.65	+	3.63	7.65E-03	3.79E-01
neural crest cell differentiation (GO:0014033)	77	5	1.17	+	4.28	7.70E-03	3.80E-01
cellular response to external stimulus (GO:0071496)	303	11	4.59	+	2.39	7.89E-03	3.88E-01
response to estrogen (GO:0043627)	78	5	1.18	+	4.23	8.09E-03	3.97E-01
forebrain regionalization (GO:0021871)	25	3	.38	+	7.92	8.20E-03	4.00E-01
activin receptor signaling pathway (GO:0032924)	25	3	.38	+	7.92	8.20E-03	4.01E-01
cardiocyte differentiation (GO:0035051)	111	6	1.68	+	3.57	8.30E-03	4.03E-01
response to insulin (GO:0032868)	223	9	3.38	+	2.66	8.37E-03	4.06E-01
cellular lipid catabolic process (GO:0044242)	184	8	2.79	+	2.87	8.41E-03	4.06E-01
cellular response to drug (GO:0035690)	307	11	4.65	+	2.36	8.63E-03	4.15E-01
positive regulation of cell cycle phase transition (GO:1901989)	80	5	1.21	+	4.12	8.93E-03	4.27E-01
response to BMP (GO:0071772)	113	6	1.71	+	3.50	8.98E-03	4.27E-01
regulation of mesonephros development (GO:0061217)	26	3	.39	+	7.61	9.04E-03	4.28E-01
phenol-containing compound metabolic process (GO:0018958)	80	5	1.21	+	4.12	8.93E-03	4.28E-01
cellular response to BMP stimulus (GO:0071773)	113	6	1.71	+	3.50	8.98E-03	4.29E-01
regulation of hormone biosynthetic process (GO:0046885)	26	3	.39	+	7.61	9.04E-03	4.29E-01
regulation of lipid catabolic process (GO:0050994)	51	4	.77	+	5.17	9.16E-03	4.31E-01
leucine metabolic process (GO:0006551)	8	2	.12	+	16.49	9.24E-03	4.33E-01
positive regulation of axon guidance (GO:1902669)	8	2	.12	+	16.49	9.24E-03	4.34E-01
kidney morphogenesis (GO:0060993)	82	5	1.24	+	4.02	9.82E-03	4.59E-01
axis elongation (GO:0003401)	27	3	.41	+	7.33	9.94E-03	4.60E-01
exogenous drug catabolic process (GO:0042738)	27	3	.41	+	7.33	9.94E-03	4.61E-01
positive regulation of cell cycle G2/M phase transition (GO:1902751)	27	3	.41	+	7.33	9.94E-03	4.63E-01
heart morphogenesis (GO:0003007)	230	9	3.49	+	2.58	1.01E-02	4.64E-01
ureteric bud morphogenesis (GO:0060675)	53	4	.80	+	4.98	1.04E-02	4.73E-01
regulation of morphogenesis of a branching structure (GO:0060688)	53	4	.80	+	4.98	1.04E-02	4.74E-01
regulation of ion transmembrane transporter activity (GO:0032412)	231	9	3.50	+	2.57	1.03E-02	4.74E-01
negative regulation of response to stimulus (GO:0048585)	1591	37	24.12	+	1.53	1.03E-02	4.75E-01
endocardial cushion morphogenesis (GO:0003203)	28	3	.42	+	7.07	1.09E-02	4.85E-01
regeneration (GO:0031099)	154	7	2.33	+	3.00	1.07E-02	4.85E-01
organonitrogen compound metabolic process (GO:1901564)	5616	106	85.14	+	1.25	1.07E-02	4.86E-01
glutamine family amino acid catabolic process (GO:0009065)	28	3	.42	+	7.07	1.09E-02	4.87E-01
regulation of signaling (GO:0023051)	3577	72	54.23	+	1.33	1.07E-02	4.87E-01
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589)	9	2	.14	+	14.66	1.12E-02	4.87E-01
long-chain fatty acid biosynthetic process (GO:0042759)	28	3	.42	+	7.07	1.09E-02	4.88E-01
immune response (GO:0006955)	1803	15	27.33	-	.55	1.12E-02	4.89E-01
omega-hydroxylase P450 pathway (GO:0097267)	9	2	.14	+	14.66	1.12E-02	4.89E-01
pyridine-containing compound metabolic process (GO:0072524)	119	6	1.80	+	3.33	1.13E-02	4.89E-01
mesonephric tubule morphogenesis (GO:0072171)	54	4	.82	+	4.89	1.10E-02	4.89E-01
regulation of axon extension involved in axon guidance (GO:0048841)	28	3	.42	+	7.07	1.09E-02	4.89E-01
outer ear morphogenesis (GO:0042473)	9	2	.14	+	14.66	1.12E-02	4.90E-01
regulation of fat cell differentiation (GO:0045598)	118	6	1.79	+	3.35	1.09E-02	4.90E-01
positive regulation of fatty acid beta-oxidation (GO:0032000)	9	2	.14	+	14.66	1.12E-02	4.92E-01
nucleotide biosynthetic process (GO:0009165)	234	9	3.55	+	2.54	1.11E-02	4.93E-01
long-chain fatty acid import (GO:0044539)	9	2	.14	+	14.66	1.12E-02	4.93E-01
aggressive behavior (GO:0002118)	9	2	.14	+	14.66	1.12E-02	4.94E-01
mRNA processing (GO:0006397)	467	1	7.08	-	.14	1.15E-02	4.95E-01
detection of chemical stimulus involved in sensory perception (GO:0050907)	477	1	7.23	-	.14	1.16E-02	5.00E-01
transmission of nerve impulse (GO:0019226)	55	4	.83	+	4.80	1.17E-02	5.01E-01
cardiac muscle cell differentiation (GO:0055007)	86	5	1.30	+	3.84	1.18E-02	5.03E-01
adult walking behavior (GO:0007628)	29	3	.44	+	6.82	1.19E-02	5.04E-01
ribonucleoprotein complex biogenesis (GO:0022613)	485	1	7.35	-	.14	1.19E-02	5.04E-01
ureteric bud development (GO:0001657)	86	5	1.30	+	3.84	1.18E-02	5.05E-01
nucleoside phosphate biosynthetic process (GO:1901293)	237	9	3.59	+	2.50	1.20E-02	5.05E-01
C21-steroid hormone metabolic process (GO:0008207)	29	3	.44	+	6.82	1.19E-02	5.05E-01
acetyl-CoA metabolic process (GO:0006084)	29	3	.44	+	6.82	1.19E-02	5.06E-01
response to chemical (GO:0042221)	4345	85	65.87	+	1.29	1.20E-02	5.07E-01
response to nitrogen compound (GO:1901698)	1021	26	15.48	+	1.68	1.21E-02	5.08E-01
fatty acid derivative biosynthetic process (GO:1901570)	87	5	1.32	+	3.79	1.23E-02	5.12E-01
mesonephric epithelium development (GO:0072163)	87	5	1.32	+	3.79	1.23E-02	5.13E-01
mesonephric tubule development (GO:0072164)	87	5	1.32	+	3.79	1.23E-02	5.15E-01
connective tissue development (GO:0061448)	198	8	3.00	+	2.67	1.25E-02	5.18E-01
cellular response to decreased oxygen levels (GO:0036294)	198	8	3.00	+	2.67	1.25E-02	5.19E-01
regulation of cell communication (GO:0010646)	3524	71	53.42	+	1.33	1.26E-02	5.19E-01
positive regulation of cellular component movement (GO:0051272)	483	15	7.32	+	2.05	1.27E-02	5.24E-01
quinone metabolic process (GO:1901661)	30	3	.45	+	6.60	1.29E-02	5.29E-01
walking behavior (GO:0090659)	30	3	.45	+	6.60	1.29E-02	5.31E-01
organic substance catabolic process (GO:1901575)	1721	39	26.09	+	1.49	1.33E-02	5.38E-01
mitral valve morphogenesis (GO:0003183)	10	2	.15	+	13.19	1.33E-02	5.39E-01
water-soluble vitamin metabolic process (GO:0006767)	89	5	1.35	+	3.71	1.34E-02	5.39E-01
desmosome organization (GO:0002934)	10	2	.15	+	13.19	1.33E-02	5.40E-01
positive regulation of endothelial cell proliferation (GO:0001938)	89	5	1.35	+	3.71	1.34E-02	5.41E-01
intraciliary retrograde transport (GO:0035721)	10	2	.15	+	13.19	1.33E-02	5.41E-01
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	10	2	.15	+	13.19	1.33E-02	5.43E-01
regulation of signaling receptor activity (GO:0010469)	552	16	8.37	+	1.91	1.35E-02	5.43E-01
immune system process (GO:0002376)	2670	26	40.48	-	.64	1.36E-02	5.43E-01
alcohol metabolic process (GO:0006066)	285	10	4.32	+	2.31	1.36E-02	5.44E-01
positive regulation of fat cell differentiation (GO:0045600)	58	4	.88	+	4.55	1.38E-02	5.50E-01
cellular response to acid chemical (GO:0071229)	202	8	3.06	+	2.61	1.39E-02	5.52E-01
fatty-acyl-CoA biosynthetic process (GO:0046949)	31	3	.47	+	6.38	1.40E-02	5.52E-01
synaptic transmission, cholinergic (GO:0007271)	31	3	.47	+	6.38	1.40E-02	5.54E-01
positive regulation of reactive oxygen species metabolic process (GO:2000379)	90	5	1.36	+	3.66	1.40E-02	5.54E-01
heart development (GO:0007507)	497	15	7.53	+	1.99	1.42E-02	5.57E-01
striated muscle tissue development (GO:0014706)	287	10	4.35	+	2.30	1.42E-02	5.58E-01
mesonephros development (GO:0001823)	91	5	1.38	+	3.62	1.46E-02	5.59E-01
regulation of metal ion transport (GO:0010959)	362	12	5.49	+	2.19	1.44E-02	5.60E-01
fatty acid beta-oxidation (GO:0006635)	59	4	.89	+	4.47	1.46E-02	5.60E-01
ncRNA metabolic process (GO:0034660)	590	2	8.94	-	.22	1.43E-02	5.61E-01
developmental process involved in reproduction (GO:0003006)	650	18	9.85	+	1.83	1.44E-02	5.61E-01
negative regulation of supramolecular fiber organization (GO:1902904)	126	6	1.91	+	3.14	1.45E-02	5.61E-01
positive regulation of ion transport (GO:0043270)	245	9	3.71	+	2.42	1.45E-02	5.61E-01
reproductive structure development (GO:0048608)	417	13	6.32	+	2.06	1.45E-02	5.61E-01
vascular process in circulatory system (GO:0003018)	164	7	2.49	+	2.82	1.46E-02	5.61E-01
mitral valve development (GO:0003174)	11	2	.17	+	11.99	1.56E-02	5.70E-01
regulation of gonadotropin secretion (GO:0032276)	11	2	.17	+	11.99	1.56E-02	5.71E-01
positive regulation of locomotion (GO:0040017)	503	15	7.63	+	1.97	1.50E-02	5.72E-01
embryonic viscerocranium morphogenesis (GO:0048703)	11	2	.17	+	11.99	1.56E-02	5.72E-01
regulation of oxidoreductase activity (GO:0051341)	92	5	1.39	+	3.58	1.52E-02	5.73E-01
positive regulation of morphogenesis of an epithelium (GO:1905332)	32	3	.49	+	6.18	1.52E-02	5.73E-01
cellular catabolic process (GO:0044248)	1789	40	27.12	+	1.47	1.50E-02	5.73E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	11	2	.17	+	11.99	1.56E-02	5.74E-01
prostanoid metabolic process (GO:0006692)	32	3	.49	+	6.18	1.52E-02	5.74E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	11	2	.17	+	11.99	1.56E-02	5.75E-01
regulation of transport (GO:0051049)	1791	40	27.15	+	1.47	1.51E-02	5.75E-01
reproductive system development (GO:0061458)	421	13	6.38	+	2.04	1.54E-02	5.76E-01
prostaglandin metabolic process (GO:0006693)	32	3	.49	+	6.18	1.52E-02	5.76E-01
L-phenylalanine metabolic process (GO:0006558)	11	2	.17	+	11.99	1.56E-02	5.76E-01
aspartate family amino acid metabolic process (GO:0009066)	60	4	.91	+	4.40	1.54E-02	5.76E-01
response to leukemia inhibitory factor (GO:1990823)	93	5	1.41	+	3.55	1.58E-02	5.77E-01
cellular macromolecule catabolic process (GO:0044265)	887	5	13.45	-	.37	1.55E-02	5.77E-01
L-phenylalanine catabolic process (GO:0006559)	11	2	.17	+	11.99	1.56E-02	5.78E-01
SMAD protein signal transduction (GO:0060395)	60	4	.91	+	4.40	1.54E-02	5.78E-01
cellular response to leukemia inhibitory factor (GO:1990830)	93	5	1.41	+	3.55	1.58E-02	5.78E-01
angiotensin-activated signaling pathway (GO:0038166)	11	2	.17	+	11.99	1.56E-02	5.79E-01
animal organ morphogenesis (GO:0009887)	883	23	13.39	+	1.72	1.60E-02	5.79E-01
DNA metabolic process (GO:0006259)	796	4	12.07	-	.33	1.60E-02	5.80E-01
positive regulation of lipid metabolic process (GO:0045834)	129	6	1.96	+	3.07	1.60E-02	5.81E-01
cell adhesion (GO:0007155)	885	23	13.42	+	1.71	1.61E-02	5.82E-01
negative regulation of hormone secretion (GO:0046888)	61	4	.92	+	4.33	1.62E-02	5.83E-01
response to prostaglandin (GO:0034694)	33	3	.50	+	6.00	1.64E-02	5.88E-01
regulation of tube diameter (GO:0035296)	130	6	1.97	+	3.04	1.65E-02	5.89E-01
response to oxidative stress (GO:0006979)	374	12	5.67	+	2.12	1.66E-02	5.89E-01
regulation of blood vessel diameter (GO:0097746)	130	6	1.97	+	3.04	1.65E-02	5.90E-01
protein tetramerization (GO:0051262)	130	6	1.97	+	3.04	1.65E-02	5.91E-01
steroid biosynthetic process (GO:0006694)	130	6	1.97	+	3.04	1.65E-02	5.93E-01
organelle fission (GO:0048285)	319	0	4.84	-	 < 0.01	1.68E-02	5.94E-01
thioester metabolic process (GO:0035383)	95	5	1.44	+	3.47	1.71E-02	5.99E-01
sensory perception of smell (GO:0007608)	458	1	6.94	-	.14	1.71E-02	5.99E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	62	4	.94	+	4.26	1.70E-02	6.00E-01
acyl-CoA metabolic process (GO:0006637)	95	5	1.44	+	3.47	1.71E-02	6.00E-01
sensory organ morphogenesis (GO:0090596)	252	9	3.82	+	2.36	1.70E-02	6.01E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	62	4	.94	+	4.26	1.70E-02	6.01E-01
sensory organ development (GO:0007423)	518	15	7.85	+	1.91	1.74E-02	6.08E-01
regulation of triglyceride catabolic process (GO:0010896)	12	2	.18	+	10.99	1.80E-02	6.09E-01
ATP hydrolysis coupled anion transmembrane transport (GO:0099133)	12	2	.18	+	10.99	1.80E-02	6.11E-01
tube development (GO:0035295)	806	21	12.22	+	1.72	1.80E-02	6.11E-01
regulation of animal organ formation (GO:0003156)	34	3	.52	+	5.82	1.76E-02	6.11E-01
negative regulation of response to food (GO:0032096)	12	2	.18	+	10.99	1.80E-02	6.12E-01
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	34	3	.52	+	5.82	1.76E-02	6.12E-01
negative regulation of appetite (GO:0032099)	12	2	.18	+	10.99	1.80E-02	6.13E-01
blood circulation (GO:0008015)	381	12	5.78	+	2.08	1.82E-02	6.13E-01
positive regulation of embryonic development (GO:0040019)	34	3	.52	+	5.82	1.76E-02	6.14E-01
ethanol catabolic process (GO:0006068)	12	2	.18	+	10.99	1.80E-02	6.15E-01
negative regulation of hormone metabolic process (GO:0032351)	12	2	.18	+	10.99	1.80E-02	6.16E-01
ossification involved in bone maturation (GO:0043931)	12	2	.18	+	10.99	1.80E-02	6.17E-01
response to vitamin E (GO:0033197)	12	2	.18	+	10.99	1.80E-02	6.19E-01
regulation of cartilage development (GO:0061035)	63	4	.96	+	4.19	1.79E-02	6.20E-01
mammary gland epithelial cell proliferation (GO:0033598)	12	2	.18	+	10.99	1.80E-02	6.20E-01
cardiac atrium development (GO:0003230)	35	3	.53	+	5.65	1.89E-02	6.30E-01
response to ischemia (GO:0002931)	35	3	.53	+	5.65	1.89E-02	6.31E-01
ribonucleoside diphosphate metabolic process (GO:0009185)	64	4	.97	+	4.12	1.88E-02	6.31E-01
protein localization to cilium (GO:0061512)	35	3	.53	+	5.65	1.89E-02	6.32E-01
nephron tubule morphogenesis (GO:0072078)	64	4	.97	+	4.12	1.88E-02	6.33E-01
cellular response to oxygen levels (GO:0071453)	214	8	3.24	+	2.47	1.88E-02	6.33E-01
circulatory system process (GO:0003013)	385	12	5.84	+	2.06	1.92E-02	6.34E-01
regulation of hormone metabolic process (GO:0032350)	35	3	.53	+	5.65	1.89E-02	6.34E-01
BMP signaling pathway (GO:0030509)	98	5	1.49	+	3.37	1.92E-02	6.34E-01
regulation of cellular ketone metabolic process (GO:0010565)	174	7	2.64	+	2.65	1.93E-02	6.35E-01
skeletal system development (GO:0001501)	465	14	7.05	+	1.99	1.92E-02	6.35E-01
chemical homeostasis (GO:0048878)	1052	26	15.95	+	1.63	1.92E-02	6.36E-01
response to organophosphorus (GO:0046683)	135	6	2.05	+	2.93	1.94E-02	6.37E-01
positive regulation of transport (GO:0051050)	922	23	13.98	+	1.65	1.94E-02	6.37E-01
response to cadmium ion (GO:0046686)	65	4	.99	+	4.06	1.97E-02	6.46E-01
tube morphogenesis (GO:0035239)	627	17	9.51	+	1.79	2.05E-02	6.46E-01
cellular aldehyde metabolic process (GO:0006081)	66	4	1.00	+	4.00	2.07E-02	6.46E-01
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	13	2	.20	+	10.15	2.05E-02	6.47E-01
nephron epithelium morphogenesis (GO:0072088)	66	4	1.00	+	4.00	2.07E-02	6.47E-01
regulation of ketone biosynthetic process (GO:0010566)	13	2	.20	+	10.15	2.05E-02	6.48E-01
regulation of glucose metabolic process (GO:0010906)	100	5	1.52	+	3.30	2.07E-02	6.48E-01
response to acid chemical (GO:0001101)	335	11	5.08	+	2.17	2.07E-02	6.49E-01
methionine biosynthetic process (GO:0009086)	13	2	.20	+	10.15	2.05E-02	6.50E-01
regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358)	13	2	.20	+	10.15	2.05E-02	6.51E-01
response to carbohydrate (GO:0009743)	176	7	2.67	+	2.62	2.04E-02	6.52E-01
behavior (GO:0007610)	554	16	8.40	+	1.91	2.04E-02	6.52E-01
carnitine metabolic process (GO:0009437)	13	2	.20	+	10.15	2.05E-02	6.52E-01
RNA biosynthetic process (GO:0032774)	2623	26	39.77	-	.65	2.04E-02	6.53E-01
nucleic acid-templated transcription (GO:0097659)	2614	26	39.63	-	.66	2.03E-02	6.53E-01
nitric oxide biosynthetic process (GO:0006809)	13	2	.20	+	10.15	2.05E-02	6.54E-01
heart valve morphogenesis (GO:0003179)	36	3	.55	+	5.50	2.03E-02	6.54E-01
transcription, DNA-templated (GO:0006351)	2613	26	39.61	-	.66	2.03E-02	6.54E-01
cardiac muscle cell action potential involved in contraction (GO:0086002)	36	3	.55	+	5.50	2.03E-02	6.55E-01
positive regulation of cell motility (GO:2000147)	471	14	7.14	+	1.96	2.01E-02	6.56E-01
tricarboxylic acid cycle (GO:0006099)	36	3	.55	+	5.50	2.03E-02	6.56E-01
protein catabolic process (GO:0030163)	661	3	10.02	-	.30	2.11E-02	6.57E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	217	8	3.29	+	2.43	2.02E-02	6.57E-01
aging (GO:0007568)	260	9	3.94	+	2.28	2.02E-02	6.58E-01
one-carbon metabolic process (GO:0006730)	36	3	.55	+	5.50	2.03E-02	6.58E-01
negative regulation of biological process (GO:0048519)	5079	95	77.00	+	1.23	2.12E-02	6.59E-01
regulation of blood vessel size (GO:0050880)	138	6	2.09	+	2.87	2.13E-02	6.59E-01
cardiac muscle tissue morphogenesis (GO:0055008)	67	4	1.02	+	3.94	2.17E-02	6.69E-01
nephron morphogenesis (GO:0072028)	67	4	1.02	+	3.94	2.17E-02	6.70E-01
cellular response to estradiol stimulus (GO:0071392)	37	3	.56	+	5.35	2.17E-02	6.71E-01
regulation of tube size (GO:0035150)	139	6	2.11	+	2.85	2.19E-02	6.74E-01
regulation of developmental process (GO:0050793)	2451	51	37.16	+	1.37	2.21E-02	6.79E-01
neuromuscular process (GO:0050905)	102	5	1.55	+	3.23	2.23E-02	6.81E-01
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	102	5	1.55	+	3.23	2.23E-02	6.82E-01
mesenchymal cell differentiation (GO:0048762)	141	6	2.14	+	2.81	2.32E-02	6.87E-01
cell migration involved in heart development (GO:0060973)	14	2	.21	+	9.42	2.32E-02	6.88E-01
monocarboxylic acid transport (GO:0015718)	140	6	2.12	+	2.83	2.26E-02	6.89E-01
negative regulation of response to extracellular stimulus (GO:0032105)	14	2	.21	+	9.42	2.32E-02	6.89E-01
negative regulation of response to nutrient levels (GO:0032108)	14	2	.21	+	9.42	2.32E-02	6.90E-01
renal tubule morphogenesis (GO:0061333)	68	4	1.03	+	3.88	2.27E-02	6.90E-01
bone maturation (GO:0070977)	14	2	.21	+	9.42	2.32E-02	6.92E-01
digestive system process (GO:0022600)	68	4	1.03	+	3.88	2.27E-02	6.92E-01
cysteine metabolic process (GO:0006534)	14	2	.21	+	9.42	2.32E-02	6.93E-01
cardiac muscle cell proliferation (GO:0060038)	14	2	.21	+	9.42	2.32E-02	6.94E-01
inner ear development (GO:0048839)	181	7	2.74	+	2.55	2.32E-02	6.95E-01
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	14	2	.21	+	9.42	2.32E-02	6.96E-01
bile acid metabolic process (GO:0008206)	38	3	.58	+	5.21	2.32E-02	6.96E-01
regulation of signal transduction (GO:0009966)	3216	64	48.76	+	1.31	2.30E-02	6.97E-01
cardiac muscle cell contraction (GO:0086003)	38	3	.58	+	5.21	2.32E-02	6.97E-01
biological_process (GO:0008150)	17748	284	269.06	+	1.06	2.37E-02	6.98E-01
protein import into nucleus (GO:0006606)	103	5	1.56	+	3.20	2.31E-02	6.99E-01
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	38	3	.58	+	5.21	2.32E-02	6.99E-01
